title,director,cast,country,release_year,adult,duration,genres,description
Between Worlds,Maria Pulera,"Nicolas Cage, Franka Potente, Penelope Mitchell, Garrett Clayton, Lydia Hearst, Hopper Penn",Spain,2018,1,91 min,Thriller,"Grieving for his dead wife and daughter, a trucker plunges into a romance with a mother who needs his help. The dead, however, are far from gone."
Blitz Patrollie,Andrew Wessels,"Joey Rasdien, David Kau, David Kibuuka, Chris Forrest, Santhiran Moonsamy, Quentin Krog, Kaseran Pillay, Mabutho Sithole, Mel Miller, Kagiso Lediga, Craig Urbani",South Africa,2013,1,102 min,"Action, Adventure, Comedy, International","Caught between family pressures and small-time crime-fighting, a pair of bumbling cops tries to bust a massive drug deal and go down in history."
C Kkompany,Sachin Yardi,"Mithun Chakraborty, Tusshar Kapoor, Anupam Kher, Rajpal Yadav, Raima Sen, Dilip Prabhavalkar, Sanjay Mishra",India,2008,0,127 min,"Action, Adventure, Comedy, International","Three broke friends pose as an underworld gang for extortion, but their plan takes on a life of its own when their phony company becomes famous."
Cemara's Family,Yandy Laurens,"Ringgo Agus Rahman, Nirina Zubir, Zara JKT48, Widuri Puteri, Ariyo Wahab, Asri Welas, Abdurrahman Arif, Kafin Sulthan",Indonesia,2018,0,110 min,"Children, Family , Drama, International","After bankruptcy, Abah and Emak must adapt to a new life with their children in a remote village."
Chaahat,Mahesh Bhatt,"Naseeruddin Shah, Shah Rukh Khan, Pooja Bhatt, Anupam Kher, Ramya Krishnan, Avtar Gill, Mushtaq Khan",India,1996,0,148 min,"Drama, International , Romantic",A vulnerable singer is forced to choose between the girl he loves and another who has developed an unhealthy obsession with him.
Disney My Music Story: Yoshiki,Kentaro Takayanagi,YOSHIKI,"United States, Japan",2019,0,48 min,"Biographical, Documentary, Music",Yoshiki from “X Japan” performs two Disney songs and talks about his music.
For the Broken Hearted,Digo Ricio,"Yassi Pressman, Sam Concepcion, Louise De Los Reyes, Shy Carlos, Marco Gumabao, Katya Santos, Andrea Del Rosario, Lander Vera Perez, Christopher Roxas",Philippines,2018,0,93 min,"Drama, International , Romantic","In three interwoven stories, love ends up in limbo as romantic partners navigate bliss, loss, failures and feelings while trying to make happiness last."
Full Out,Sean Cisterna,"Jennifer Beals, Ana Golja, Art Hindle, Jake Epstein, Ramona Milano, Trevor Tordjman, Lamar Johnson, Asha Bromfield, Sarah Fisher","Canada, United States",2015,0,88 min,"Children, Family , Drama, Sports","After a debilitating accident ends her Olympic dreams, gymnast Ariana Berlin finds recovery and hope in the world of hip-hop and college athletics."
Gascoigne,Jane Preston,"Paul Gascoigne, Vinnie Jones, Gary Lineker, José Mourinho",United Kingdom,2015,0,87 min,Documentary,"Celebrating the life and achievements of naturally gifted Paul Gascoigne, a legendary young English soccer player who won the hearts of the English nation. From his humble beginnings through to his international stardom within the football world .The documentary features interviews with soccer legends Vinnie Jones, Gary Lineker, José Mourinho and Wayne Rooney."
Goosebumps 2: Haunted Halloween,Ari Sandel,"Jeremy Ray Taylor, Madison Iseman, Caleel Harris, Wendi McLendon-Covey, Chris Parnell, Ken Jeong, Jack Black","United States, United Kingdom",2018,0,90 min,"Children, Family , Comedy","Three teens spend their Halloween trying to stop a magical book, which brings characters from the 'Goosebumps' novels to life."
Hank: Five Years from the Brink,Joe Berlinger,"Henry Paulson, Wendy Paulson",United States,2013,0,86 min,Documentary,"From Joe Berlinger, director of the 'Paradise Lost' trilogy, comes this documentary about controversial former U.S. Treasury Secretary Henry Paulson."
Heavyweights,Steven Brill,"Tom McGowan, Aaron Schwartz, Shaun Weiss, Tom Hodges, Leah Lail, Paul Feig",United States,1995,0,98 min,"Comedy, Family",Portly misfits join up to take back their summer camp from a fitness guru.
Her,Spike Jonze,"Joaquin Phoenix, Scarlett Johansson, Amy Adams, Rooney Mara, Olivia Wilde, Chris Pratt, Matt Letscher, Portia Doubleday",United States,2013,1,126 min,"Drama, Romantic , Sci-Fi, Fantasy",Love comes to a lonely writer in the sleekest of packages when he finds himself falling for the advanced operating system he bought to run his life.
Hired Gun,Fran Strine,"Alice Cooper, Liberty DeVitto, Ray Parker Jr., David Foster, Jason Hook, Steve Vai, Phil X, Rudy Sarzo, Jay Graydon, Rob Zombie, Kenny Aronoff, Steve Lukather, Justin Derrico, Eva Gardner, John 5, Eric Singer, Derek St. Holmes, Paul Bushnell, Jason Newsted, Glen Sobel, Nita Strauss, Chris Johnson",United States,2017,0,98 min,"Documentary, Special Interest","They are the 'First Call, A-list' musicians, just 20 feet from stardom, yet rarely receive credit for their work. The 'hired gun' community lives and breathes music, and for the first time, share their incredible stories detailing the highs and lows of touring life, the demands of session schedules, and the dedication required to play next to some of the world's most iconic musicians."
I Am the Pretty Thing That Lives in the House,Osgood Perkins,"Ruth Wilson, Bob Balaban, Lucy Boynton, Paula Prentiss","Canada, United States",2016,0,89 min,"Horror , International , Thriller",A nervous nurse who scares easily finds herself caring for an ailing horror novelist while living in a house with hidden secrets.
Illang: The Wolf Brigade,Kim Jee-woon,"Gang Dong-won, Han Hyo-joo, Jung Woo-sung, Kim Mu-yeol, Han Ye-ri, Choi Min-ho, Shin Eun-soo, Kim Beop-rae, Lee Dong-ha, Jung Won-joong, Choi Jin-ho",South Korea,2018,1,140 min,"Action, Adventure, International , Sci-Fi, Fantasy","In 2029, the elite police squad Illang combats a terrorist group opposing reunification of the two Koreas. But another enemy may be lurking nearby."
Just The Way You Are,Theodore Boborol,"Enrique Gil, Liza Soberano, Yves Flores, Sue Ramirez, Erin Ocampo, Yayo Aguila, Alex Diaz, Jon Lucas, Chienna Filomeno, Marco Gumabao, Myrtle Sarrosa, Kyra Custodio, Miguel Vergara, Tonton Gutierrez, Ricky Davao, Sunshine Cruz",Philippines,2016,0,107 min,"International , Romantic",An overconfident teen bets he can make a homely transfer student fall in love with him in 30 days — but the wager starts to play games with his heart.
Manje Bistre,Baljit Singh Deo,"Gippy Grewal, Sonam Bajwa, Karamjit Anmol, Jaggi Singh, B.N. Sharma, Hobby Dhaliwal, Rana Ranbir, Sardar Sohi, Anita Devgan, Harby Sangha",India,2017,0,136 min,"Comedy, Drama, International","While prepping for a family wedding, a young man falls for his sister’s friend, who has already been promised to someone else."
Mehandi Circus,Saravana Rajendran,"Madhampatti Rangaraj, Shweta Tripathi, Vela Ramamoorthy, Ankur Vikal, G. Marimuthu, Sunny Charles",India,2019,1,126 min,"Drama, International , Romantic","In the early 1990s, the love between a cassette shop owner and a traveling circus performer challenges caste barriers and disapproving parents."
Miss Stevens,Julia Hart,"Lily Rabe, Timothée Chalamet, Lili Reinhart, Anthony Quintal, Oscar Nuñez, Rob Huebel",United States,2016,0,86 min,"Drama, Independent",Emotionally vulnerable teacher Rachel accompanies three students to a weekend drama competition and forms an unexpected bond with troubled teen Billy.
Monster High: Great Scarrier Reef,William Lau,"Larissa Galagher, Kate Higgins, Debi Derryberry, Salli Saffioti, America Young, Evan Smith, Lyndsy Kail, Rachel Staman, Cherami Leigh, Paula Rhodes, Erin Fitzgerald",United States,2016,0,72 min,"Children, Family","At a Monster High party, Lagoona and pals are sucked into the reef, where she'll have to come to terms with her flaws and confront an old frenemy."
Open Season 2,"Matthew O'Callaghan, Todd Wilderman","Joel McHale, Mike Epps, Jane Krakowski, Billy Connolly, Crispin Glover, Steve Schirripa, Georgia Engel, Diedrich Bader, Cody Cameron, Fred Stoller, Olivia Hack","United States, Canada",2008,0,76 min,"Children, Family , Comedy",Elliot the buck and his forest-dwelling cohorts must rescue their dachshund pal from some spoiled pets bent on returning him to domesticity.
Rebirth,Karl Mueller,"Fran Kranz, Adam Goldberg, Nicky Whelan, Luis Gerardo Méndez, Harry Hamlin, Pat Healy, Kat Foster, Andrew J. West, Eric Ladin, Steve Agee",United States,2016,1,101 min,"Drama, Thriller","Long-lost buddy Zack gets suburban dad Kyle on a bus to a Rebirth seminar, sending him down a rabbit hole of psychodrama, seduction and violence."
Seberg,Benedict Andrews,"Kristen Stewart, Jack O’Connell, Margaret Qualley, Zazie Beetz, Yvan Attal, Stephen Root, Colm Meany, Vince Vaughn, Anthony Mackie","United Kingdom, United States",2020,1,103 min,"Drama, Suspense","Inspired by true events about the French New Wave darling and Breathless star, Jean Seberg – this noir-ish thriller by Benedict Andrews shows the unraveling and destruction of Seberg’s life and career when Hoover’s 1960’s FBI targets her with overreaching surveillance and harassment in an effort to suppress and discredit her activism and support of the civil rights movement."
Surviving the Mount St. Helens Disaster,Sophie Harris,Bill Ratner,United Kingdom,2020,0,44 min,"Animals, Nature, Documentary",Eyewitness accounts and rare images chart the violent 1980 eruption of Mount St. Helens.
The Keeping Hours,Karen Moncrieff,"Lee Pace, Carrie Coon, Sander Thomas, Amy Smart, Ray Baker, Ana Ortiz, Molly Hagan, Christina Vidal, Anna Diop, Jane Daly, Cliff Chamberlain",United States,2017,0,95 min,"Drama, Thriller","Years after the death of their only child and subsequent divorce, a couple discovers that their son's ghost continues to inhabit their former home."
The President's Barber,Chan-sang Lim,"Kang-ho Song, So-ri Moon, Jae-eung Lee, Yeong-jin Jo, Byung-ho Son, Yong-soo park, Seung-soo Ryu, Ju-sang Yun, Gyu-su Jeong, Dal-su Oh",South Korea,2004,1,116 min,"Comedy, Drama, International","The personal barber to the president, as well as his wife and only son, get tangled in the political chaos that gripped South Korea in the late 1900s."
The Prison,Na Hyeon,"Suk-kyu Han, Rae-won Kim, Kyeong-yeong Lee, Woong-in Jeong, Jae-yun Jo, Sung-rok Shin, Kim Sung-kyun, Kwak Min-ho",South Korea,2017,1,125 min,"Action, Adventure, Drama, International",A cop-turned-convict discovers a crime syndicate inside a prison lorded over by an inmate crime boss – and joins in on their nightly heists.
The Resurrection of Gavin Stone,Dallas Jenkins,"Brett Dalton, Anjelah Johnson-Reyes, D.B. Sweeney, Neil Flynn, Shawn Michaels, Patrick Gagnon, Tim Frank, Tara Rios, Liam Matthews, Mary Thornton",United States,2017,0,92 min,"Children, Family , Comedy, Drama","After one too many run-ins with the law, a Hollywood bad boy finds redemption while fulfilling his court-ordered community service at a megachurch."
We'll Be Right Back After The Break,Ahmed Nader Galal,"Karim Abdel Aziz, Dina Fouad, Mohamed Lotfy, Ahmed Rateb, Rasha Amin, Youssef Eid, Mostafa Abbas, Maged El Kedwany, Sabri Abdulmonem, Abdalah Mishrif",Egypt,2012,0,106 min,"Action, Adventure, Comedy, International","While fighting a child custody battle against his father-in-law, a taxi driver loses his memory when his son is kidnapped."
A Kid from Coney Island,"Coodie, Chike",Stephon Marbury,"United States, China",2019,1,89 min,"Documentary, Sports","From gifted athlete to professional NBA hooper, Coney Island's Stephon Marbury navigates the pressures, pitfalls and peaks of his basketball journey."
Aaja Nachle,Anil Mehta,"Madhuri Dixit, Darshan Jariwala, Raghuvir Yadav, Divya Dutta, Irrfan Khan, Kunal Kapoor, Konkona Sen Sharma, Ranvir Shorey, Vinay Pathak",India,2007,0,143 min,Drama,"An unexpected phone call shakes Dia (Madhuri Dixit) on hearing her guru, is dying and she must return to India. It is a troubled return; not only has her guru passed away, but the institution that he so lovingly nurtured is in under threat of demolition. Ajanta theatre, the once vibrant hub. Dia promises to turn this ruin into a bustling theatre that was once the soul of her little town."
Addicted to Life,Thierry Donard,"Antoine Bizet, Jesse Richman, Karsten Gefle, Wille Lindberg, Matahi Drollet, Mathias Wyss, Matt Annetts",France,2014,0,91 min,"Action, Adventure, Documentary, International","Chasing extreme challenges, athletic daredevils test their limits in various environments from giant waves to snowy slopes around the world."
Animas,"Laura Alvea, José Ortuño","Clare Durant, Iván Pellicer, Luis Bermejo, Liz Lobato, Chacha Huang, Ángela Molina","Spain, Belgium",2018,1,88 min,"Horror , International",A teen's eerie visions become increasingly frequent and terrifying after her longtime friend gets a girlfriend and his abusive dad is strangely killed.
Apollo 18,Gonzalo López-Gallego,"Warren Christie, Lloyd Owen, Ryan Robbins, Michael Kopsa, Andrew Airlie","United States, Canada",2011,0,87 min,"Horror , Sci-Fi, Fantasy, Thriller","This sci-fi thriller suggests that Apollo 17, despite official statements to the contrary, wasn't NASA's last manned mission to the moon."
Bir Baba Hindu,Sermiyan Midyat,"Sermiyan Midyat, Şafak Sezer, Nicole Faria, Burak Satıbol","Turkey, India",2016,1,107 min,"Action, Adventure, Comedy, International",A Istanbul mobster falls for an Indian yoga instructor whose abduction takes him on a wild rescue mission to Mumbai.
Cradle of the Gods,Tim Conrad,Tim Conrad,United Kingdom,2012,0,45 min,"Documentary, Historical","Located on a hilltop sanctuary, G – bekli Tepe in Turkey is the world's first known temple."
Crazy people,Moses Inwang,"Ramsey Nouah, Chigul, Sola Sobowale, Ireti Doyle, Ben Touitou, Francis Onwochei, Ememobong Nkana, Emem Inwang, Patrick Onyeke",Nigeria,2018,1,107 min,"Comedy, International , Thriller",Nollywood star Ramsey Nouah learns that someone is impersonating him and breaks out of a mental institution to expose the imposter.
Deviant Love,Michael Feifer,"Emma Bell, Nick Ballard, Bradley Bundlie, Gail O'Grady, Corbin Timbrook, Kate Lang Johnson, Robert Adamson, Caia Coley, Alicia James, Sotida Arpon",United States,2019,0,87 min,Thriller,"In a tailspin after her marriage collapses, Jamie falls for a helpful gentleman whose interest in her welfare hides sinister motives."
Enola Holmes,Harry Bradbeer,"Millie Bobby Brown, Henry Cavill, Sam Claflin, Helena Bonham Carter, Louis Partridge, Burn Gorman, Adeel Akhtar, Susan Wokoma, Frances de la Tour, Fiona Shaw",United Kingdom,2020,0,124 min,"Action, Adventure, Children, Family , Drama","While searching for her missing mother, intrepid teen Enola Holmes uses her sleuthing skills to outsmart big brother Sherlock and help a runaway lord."
Forbidden Games: The Justin Fashanu Story,"Jon Carey, Adam Darke","Justin Fashanu, John Fashanu",United Kingdom,2017,0,81 min,"Documentary, International , LGBTQ","This documentary chronicles the tragic, true story of Justin Fashanu, the first – and only – openly gay man to have played professional soccer."
Good Kisser,Wendy Jo Carlton,"Kari Alison Hodge, Rachel Paulson, Julia Eringer",United States,2019,1,75 min,"Comedy, Drama, Independent","Hoping to give their relationship a boost, Jenna and Kate arrange to spend an evening with a third woman, but things take a turn once the sparks fly."
Kahaani,Sujoy Ghosh,"Vidya Balan, Parambrata Chatterjee, Dhritiman Chatterjee, Saswata Chatterjee, Indraneil Sengupta, Nawazuddin Siddiqui, Darshan Jariwala, Masood Akhtar, Riddhi Sen",India,2012,0,122 min,"International , Music, Musical, Thriller","Pregnant and alone in the city of Kolkata, a woman begins a relentless search for her missing husband, only to find that nothing is what it seems."
Kevin Hart: Seriously Funny,Shannon Hartman,Kevin Hart,United States,2010,1,67 min,StandUpComedy,"With his unique hip-hop style delivery, African American stand-up comedian Kevin Hart expounds on life at a sold-out concert performance."
"Love, Kennedy",T.C. Christensen,"Jasen Wade, Heather Beers, Tatum Chiniquy",United States,2017,0,92 min,Faith and Spirituality,"Kennedy Hansen is a 15 year old girl with three goals, drive a car, date boys and be a cheerleader. Even though she contracts a terrible disease, Kennedy is able to triump over her obstacles and make her dreams come true."
Lovesong,So Yong Kim,"Jena Malone, Riley Keough, Brooklyn Decker, Amy Seimetz, Ryan Eggold, Rosanna Arquette, Cary Joji Fukunaga, Marshall Chapman, Neal Huff",United States,2016,1,84 min,"Drama, Independent , Romantic","Best friends Sarah and Mindy share an unexpected moment while on a road trip. Years later, the two struggle to reconnect before a wedding."
Madras Café,Shoojit Sircar,"John Abraham, Nargis Fakhri, Rashi Khanna, Avijit Dutt, Prakash Belawadi, Ajay Ratnam, Siddartha Basu, Agnello Dias, Dibang",India,2013,0,128 min,"Drama, International , Thriller",An Indian intelligence agent journeys to a war-torn coastal island to break a resolute rebel group and meets a passionate journalist.
Monster High: Fright On!,"Victor Dal Chele, Alfred Gimeno","Kate Higgins, Debi Derryberry, Salli Saffioti, Laura Bailey, Yuri Lowenthal, Audu Paden, Cindy Robinson, Erin Fitzgerald, America Young, Ogie Banks",United States,2011,0,46 min,"Children, Family","Big changes are afoot at Monster High when administrators announce a merger with two other schools, designed to bring all monsters together."
Remember,Atom Egoyan,"Christopher Plummer, Bruno Ganz, Jürgen Prochnow, Heinz Lieven, Henry Czerny, Dean Norris, Martin Landau","Canada, Mexico, Germany, South Africa",2015,1,95 min,"Action, Adventure, Drama","Following the written instructions of his friend, senile Zev crosses the country to find and murder the Nazi who killed their families in Auschwitz."
Revolt,Joe Miale,"Lee Pace, Bérénice Marlohe, Jason Flemyng, Sibulele Gcilitshana, Wandile Molebatsi, Sekoati Sk Tsubane, Leroy Gopal, Welile Nzunza, Patrick Bakoba, Tom Fairfoot",United Kingdom,2017,1,87 min,"Action, Adventure, Sci-Fi, Fantasy","Following a devastating alien invasion, an American soldier and a French foreign aid worker attempt to find refuge in the Kenyan countryside."
Robin Hood,Wolfgang Reitherman,"Roger Miller, Peter Ustinov, Terry-Thomas , Brian Bedford, Monica Evans, Phil Harris",United States,1973,0,85 min,"Action, Adventure, Animation, Family",Disney's animated classic tale of England's legendary hero.
Spy Kids: All the Time in the World,Robert Rodriguez,"Jessica Alba, Joel McHale, Rowan Blanchard, Mason Cook, Jeremy Piven, Alexa PenaVega, Daryl Sabara, Ricky Gervais, Danny Trejo",United States,2011,0,88 min,"Children, Family , Comedy",Twins Rebecca and Cecil spring into action with their retired secret agent stepmother to stop a time-manipulating mastermind and his nefarious plans.
Super Nani,Indra Kumar,"Rekha, Randhir Kapoor, Sharman Joshi, Anupam Kher, Shweta Kumar, Varsha Usgaonkar, Rajesh Kumar, Shreya Narayan",India,2014,0,127 min,"Comedy, Drama, International","A loving, concerned American grandson travels to Mumbai to rescue his unappreciated grandmother from her drudgery and fulfill her true potential."
Sweet Virginia,Jamie M. Dagg,"Jon Bernthal, Christopher Abbott, Imogen Poots, Rosemarie DeWitt, Odessa Young, Joseph Lyle Taylor, Jonathan Tucker, Garry Chalk, Jared Abrahamson, Gabrielle Rose","United States, Canada",2017,1,93 min,"Drama, Independent , Thriller","In a remote Alaskan town reeling from a sudden triple murder, a former rodeo champ befriends a lone newcomer with a violent occupation."
That Darn Cat!,Robert Stevenson,"Hayley Mills, Dean Jones, Dorothy Provine, Roddy McDowall, Neville Brand, Elsa Lanchester",United States,1965,0,116 min,"Animals, Nature, Comedy, Family",A cat holds the clue to bank robbers holding a teller hostage.
The Absent-Minded Professor,Robert Stevenson,"Fred MacMurray, Nancy Olson, Keenan Wynn, Tommy Kirk, Leon Ames, Elliott Reid",United States,1961,0,96 min,"Comedy, Family, Sci-Fi",A bumbling professor invents gravity-defying Flubber.
The Apostate,Federico Veiroj,"Álvaro Ogalla, Marta Larralde, Bárbara Lennie, Vicky Peña, Juan Calot, Kaiet Rodriguez, Andrés Gertrúdix, Joaquín Climent, Álvaro Roig, Tino Martinez, Mercedes Hoyos","Spain, France, Uruguay",2015,1,80 min,"Comedy, Drama, International",A young man determined to renounce Catholicism by having his baptismal records excised is thwarted by church bureaucracy and his own inner conflicts.
The Binding,Domenico de Feudis,"Riccardo Scamarcio, Mía Maestro",Italy,2020,1,93 min,"Horror , International , Thriller","While visiting her fiancé's mother in southern Italy, a woman must fight the mysterious and malevolent curse intent on claiming her daughter."
The Game,David Fincher,"Michael Douglas, Sean Penn, Deborah Kara Unger, James Rebhorn, Peter Donat, Carroll Baker, Anna Katarina, Armin Mueller-Stahl",United States,1997,1,129 min,Thriller,An aloof investment banker's life spirals into peril and paranoia after his brother gives him an odd birthday gift: the chance to play a mysterious game.
The Karate Kid,John G. Avildsen,"Ralph Macchio, Pat Morita, Elisabeth Shue, Martin Kove, Randee Heller, William Zabka, Ron Thomas, Rob Garrison",United States,1984,0,127 min,"Action, Adventure, Children, Family , Classic","When a bullied teen befriends an unassuming martial arts master, he’ll learn life lessons — and the right moves — to beat back his merciless rivals."
The Little Switzerland,Kepa Sojo,"Jon Plazaola, Maggie Civantos, Ingrid García Jonsson, Lander Otaola, Secun de la Rosa, Ramón Barea, Maribel Salas, Mikel Losada, Pepe Rapazote, Enrique Villén, Kandido Uranga, Anabela Teixeira, Karra Elejalde, Antonio Resines",Spain,2019,1,86 min,"Comedy, International",The discovery of the tomb of William Tell’s son in a town in the Basque Country spurs the village's cantankerous citizens to lobby for Swiss annexation.
The Longshots,Fred Durst,"Ice Cube, Keke Palmer, Tasha Smith, Jill Marie Jones, Dash Mihok, Matt Craven, Glenn Plummer, Garrett Morris, Miles Chandler, Malcolm Goodwin",United States,2008,0,95 min,"Comedy, Drama, Sports","When an 11-year-old girl becomes Pop Warner football's first female quarterback, she raises eyebrows – till she takes her team to the brink of glory."
The Matrix Revolutions,"Lilly Wachowski, Lana Wachowski","Keanu Reeves, Laurence Fishburne, Carrie-Anne Moss, Hugo Weaving, Jada Pinkett Smith, Mary Alice, Harold Perrineau, Monica Bellucci, Harry Lennix, Lambert Wilson, Nona Gaye",United States,2003,1,129 min,"Action, Adventure, Sci-Fi, Fantasy",The final installment in the Matrix trilogy finds an unconscious Neo trapped in a subway station in a zone between the Matrix and the machine world.
The Midas Touch,Chi Keung Fung,"Chapman To, Charlene Choi, Gao Yunxiang, Shatina Chen, Alice Li, Jiayu Xie, Jiemeng Zhuang, Venus Wong, Ching-Wan Hui, Jennifer Zhang",Hong Kong,2013,0,98 min,"Comedy, International","A debt collector takes over the management of a group of starlets after their talent agent defaults on a loan, but soon finds he's in over his head."
The Occupant,"Àlex Pastor, David Pastor","Javier Gutiérrez, Mario Casas, Bruna Cusí, Ruth Díaz",Spain,2020,1,104 min,"Independent , International , Thriller",An unemployed advertising executive begins stalking the new tenants of his former home and his motives toward the family turn sinister.
The Vanished,Peter Facinelli,"Thomas Jane, Anne Heche, Jason Patric, John D. Hickman, Peter Facinelli, Alex Haydon, Aleksei Archer, Kristopher Wente",United States,2020,1,115 min,Thriller,"When their daughter disappears during a family vacation, two terrified parents launch their own investigation that soon exposes local secrets."
The Women's Balcony,Emil Ben-Shimon,"Evelin Hagoel, Igal Naor, Orna Banay, Einat Sarouf, Avraham Aviv Alush, Itzik Cohen, Yafit Asulin, Sharona Elimelech, Herzl Tobey, Haim Znati",Israel,2016,0,100 min,"Comedy, Drama, Faith and Spirituality","A conservative rabbi steps in to lead a congregation reeling from an accident, but his controversial plans incite a gender war among the congregation."
Troy: The Odyssey,Tekin Girgin,"Dylan Vox, Lara Heller, Hachem Hicham, David Gray, Kelly B. Jones, Daniel Whyte, Eoin O'Brien, Ego Mikitas",United States,2017,1,90 min,"Action, Adventure","Starting with the Trojan Horse attack, this modest re-telling of Homer's epic covers well-known highlights of Odysseus's long journey home."
Under the Bombs,Philippe Aractingi,"Nada Abou Farhat, Georges Khabbaz, Bshara Atallah, Rawia Elchab, Elham Abbas, Iman Affara, Zahra Ali, Ali Maerouf Amer, Ali Azour, Najat Darwish","France, Lebanon, United Kingdom",2007,1,94 min,"Drama, Independent , International",A mother arrives in war-torn Lebanon looking for her missing son in the South as a cab driver agrees to escort her on her dangerous trip.
Wildling,Fritz Böhm,"Bel Powley, Brad Dourif, Liv Tyler, Collin Kelly-Sordelet, James Le Gros",United States,2018,1,93 min,"Horror , Independent , Sci-Fi, Fantasy","Confined to an attic for years by a man claiming to be her protector, teenage Anna is liberated and begins learning the rest of her terrifying story."
Winter's Bone,Debra Granik,"Jennifer Lawrence, John Hawkes, Kevin Breznahan, Dale Dickey, Garret Dillahunt, Sheryl Lee, Lauren Sweetser, Tate Taylor",United States,2010,1,100 min,"Drama, Independent","In this unflinching noir drama, a resilient teen goes on the trail of her missing, drug-dealing father when his absence threatens the family's safety."
Aalorukkam,V C Abhilash,"Indrans, Sreekanth Menon, Vishnu Agasthya, Aliyar, Seethabaala, Shaji John, Sajith Nampiyar, Benny Vadakkan",India,2018,0,122 min,"Drama, Independent , International","When an aging father seeks the help of a doctor and a journalist to look for the son who left him 16 years ago, he learns some surprising truths."
Alibaba Aur 40 Chor,"Latif Faiziyev, Umesh Mehra","Dharmendra, Hema Malini, Zeenat Aman, Rolan Bykov, Prem Chopra, Yakub Akhmedov, Madan Puri, Sofiko Chiaureli","Soviet Union, India",1980,0,147 min,"Action, Adventure, International , Sci-Fi, Fantasy",A simple village man is thrown into a web of political intrigue after he takes on a powerful and ruthless gang of bandits.
American Assassin,Michael Cuesta,"Dylan O'Brien, Michael Keaton, Sanaa Lathan, Shiva Negar, Taylor Kitsch, Trevor White, Navid Negahban, Scott Adkins, David Suchet, Sydney Rae White",United States,2017,1,112 min,"Action, Adventure","After grad student Mitch Rapp suffers a tragic loss during a terrorist attack, his single-minded thirst for vengeance catches the interest of the CIA."
Bulbbul,Anvita Dutt,"Tripti Dimri, Avinash Tiwary, Rahul Bose, Parambrata Chatterjee, Paoli Dam, Veera Kapur Ee",India,2020,1,94 min,"Horror , International","A child bride grows up to be an enigmatic woman presiding over her household, harboring a painful past as supernatural murders of men plague her village."
Die Hard 2 (4K UHD),Renny Harlin,"Bruce Willis, Bonnie Bedelia, William Atherton, Reginald Veljohnson, Franco Nero, William Sadler, John Amos",United States,1990,1,123 min,"Action, Adventure",John McClane is forced to battle mercenaries who seize control of an airport's communications and threaten to cause plane crashes if their demands are not met.
Dr. Seuss' The Lorax,"Chris Renaud, Kyle Balda","Danny DeVito, Ed Helms, Taylor Swift, Zac Efron, Betty White, Rob Riggle, Jenny Slate, Nasim Pedrad, Joel Swetow, Michael Beattie, Stephen Tobolowsky","United States, France",2012,0,86 min,"Children, Family",The forest-dwelling Lorax has to stop the short-sighted Once-ler from ruining the environment for profit in this adaptation of the Dr. Seuss classic.
Dragon Quest Your Story,"Takashi Yamazaki, Ryuichi Yagi, Makoto Hanafusa","Takeru Sato, Kasumi Arimura, Haru, Kentaro Sakaguchi, Takayuki Yamada, Kendo Kobayashi, Ken Yasuda, Arata Furuta, Suzuki Matsuo, Koichi Yamadera, Arata Iura, Chikako Kaku, Kotaro Yoshida",Japan,2019,0,103 min,"Action, Adventure, Anime , Children, Family",Luca follows in his father's footsteps to rescue his mother from evil Ladja. Finding the heavenly hero who wields the Zenithian sword is his only hope.
Girl on the Third Floor,Travis Stevens,"CM Punk, Trieste Kelly Dunn, Sarah Brooks, Elissa Dowling, Karen Woditsch, Marshall Bean, Anish Jethmalani, Bishop Stevens, Tonya Kay",United States,2019,1,92 min,Horror,"A husband with a bad track record tries to start anew by renovating a rundown Victorian for his family, only to find he's tackled a house out of hell."
Harith Iskander: I Told You So,Michael McKay,Harith Iskander,United States,2018,0,62 min,StandUpComedy,"Malaysian stand-up comedy icon Harith Iskander takes the stage in Kuala Lumpur to talk about Singapore, a past girlfriend, Rick Astley and more."
Home Alone,Chris Columbus,"Macaulay Culkin, Joe Pesci, Daniel Stern, John Heard, Roberts Blossom, Catherine O'Hara",United States,1990,0,103 min,"Comedy, Family","When Kevin is home while his family goes on a Christmas trip, he must defend his home from burglars."
Hotel for Dogs,Thor Freudenthal,"Emma Roberts, Jake T. Austin, Kyla Pratt, Lisa Kudrow, Kevin Dillon, Don Cheadle, Johnny Simmons, Troy Gentile, Eric Edelstein, Robinne Lee, Ajay Naidu","Germany, United States",2009,0,101 min,"Children, Family , Comedy","Placed in a foster home that doesn't allow pets, 16-year-old Andi and her younger brother Bruce turn an abandoned hotel into a home for their dog."
Jimi Hendrix,Joe Boyd,"Jimi Hendrix, Eric Clapton, Billy Cox",United States,1973,1,102 min,"Documentary, Music, Musical","Jimi Hendrix's family, friends, and fellow musicians discuss his life and influence. Hendrix also appears in classic performance footage."
Kis Kisko Pyaar Karoon,"Abbas Alibhai Burmawalla, Mastan Alibhai Burmawalla","Kapil Sharma, Arbaaz Khan, Varun Sharma, Sharat Saxena, Supriya Pathak, Manoj Joshi, Manjari Fadnis, Simran Kaur Mundi, Elli Avram, Jamie Lever",India,2015,0,132 min,"Comedy, International","A man's decision to marry three women, to keep them from committing suicide, complicates his relationship with his girlfriend."
